"Country","BestRec"
"Afghanistan","Cash"
"Angola","Cash"
"Albania","SP_covid"
"United Arab Emirates","SP_covid"
"Argentina","SP_covid"
"Armenia","Cash"
"Australia","SP_current"
"Austria","Cash"
"Azerbaijan","Cash"
"Burundi","SP_covid"
"Belgium","Cash"
"Benin","SP_current"
"Burkina Faso","Cash"
"Bangladesh","Cash"
"Bulgaria","SP_current"
"Bosnia and Herzegovina","SP_covid"
"Belarus","Cash"
"Belize","SP_current"
"Bolivia","SP_current"
"Brazil","SP_current"
"Bhutan","SP_covid"
"Botswana","SP_current"
"Central African Republic","SP_covid"
"Canada","Cash"
"Switzerland","Cash"
"Chile","Cash"
"China","SP_covid"
"Cote d'Ivoire","SP_covid"
"Cameroon","SP_covid"
"Congo, Dem. Rep.","Cash"
"Congo, Rep.","SP_current"
"Colombia","Cash"
"Comoros","SP_covid"
"Cabo Verde","SP_covid"
"Costa Rica","Cash"
"Cyprus","SP_covid"
"Czech Republic","Cash"
"Germany","Cash"
"Djibouti","SP_covid"
"Denmark","Cash"
"Dominican Republic","SP_covid"
"Algeria","Cash"
"Ecuador","SP_covid"
"Egypt, Arab Rep.","Cash"
"Eritrea","Cash"
"Spain","Cash"
"Estonia","SP_covid"
"Ethiopia","SP_covid"
"Finland","Cash"
"Fiji","SP_covid"
"France","SP_current"
"Micronesia, Fed. Sts.","SP_covid"
"Gabon","SP_covid"
"United Kingdom","Cash"
"Georgia","Cash"
"Ghana","SP_covid"
"Guinea","SP_covid"
"Gambia, The","SP_covid"
"Guinea-Bissau","SP_covid"
"Greece","SP_current"
"Guatemala","SP_covid"
"Guyana","Cash"
"Honduras","SP_covid"
"Croatia","Cash"
"Haiti","SP_current"
"Hungary","SP_covid"
"Indonesia","SP_current"
"India","SP_covid"
"Ireland","Cash"
"Iran, Islamic Rep.","Cash"
"Iraq","SP_current"
"Iceland","Cash"
"Israel","SP_covid"
"Italy","Cash"
"Jamaica","SP_covid"
"Jordan","SP_covid"
"Japan","Cash"
"Kazakhstan","SP_covid"
"Kenya","SP_covid"
"Kyrgyz Republic","SP_covid"
"Cambodia","SP_covid"
"Kiribati","SP_covid"
"Korea, Rep.","Cash"
"Lao PDR","SP_covid"
"Lebanon","SP_covid"
"Liberia","SP_current"
"St. Lucia","SP_covid"
"Sri Lanka","Cash"
"Lesotho","Cash"
"Lithuania","SP_covid"
"Luxembourg","SP_covid"
"Latvia","Cash"
"Morocco","Cash"
"Moldova","SP_covid"
"Madagascar","SP_current"
"Maldives","Cash"
"Mexico","SP_covid"
"Marshall Islands","SP_covid"
"North Macedonia","SP_covid"
"Mali","SP_covid"
"Malta","Cash"
"Myanmar","SP_covid"
"Montenegro","SP_covid"
"Mongolia","SP_current"
"Mozambique","SP_covid"
"Mauritania","SP_covid"
"Mauritius","SP_current"
"Malawi","Cash"
"Malaysia","Cash"
"Namibia","Cash"
"Niger","SP_covid"
"Nigeria","SP_covid"
"Nicaragua","SP_current"
"Netherlands","Cash"
"Norway","Cash"
"Nepal","SP_current"
"Nauru","SP_covid"
"Pakistan","SP_covid"
"Panama","SP_current"
"Peru","Cash"
"Philippines","Cash"
"Papua New Guinea","SP_covid"
"Poland","SP_current"
"Portugal","Cash"
"Paraguay","SP_current"
"Romania","SP_covid"
"Russian Federation","Cash"
"Rwanda","SP_covid"
"Sudan","SP_covid"
"Senegal","Cash"
"Solomon Islands","SP_covid"
"Sierra Leone","Cash"
"El Salvador","SP_covid"
"Somalia","Cash"
"Serbia","SP_covid"
"South Sudan","Cash"
"Sao Tome and Principe","SP_covid"
"Suriname","SP_covid"
"Slovak Republic","SP_covid"
"Slovenia","Cash"
"Sweden","Cash"
"Eswatini","Cash"
"Seychelles","Cash"
"Syrian Arab Republic","SP_covid"
"Chad","SP_covid"
"Togo","SP_current"
"Thailand","SP_current"
"Tajikistan","SP_covid"
"Turkmenistan","SP_covid"
"Timor-Leste","Cash"
"Tonga","SP_covid"
"Tunisia","SP_covid"
"Turkiye","SP_covid"
"Tuvalu","Cash"
"Tanzania","SP_covid"
"Uganda","SP_covid"
"Ukraine","SP_covid"
"Uruguay","Cash"
"United States","Cash"
"Uzbekistan","SP_covid"
"Venezuela, RB","SP_covid"
"Vietnam","SP_covid"
"Vanuatu","SP_covid"
"Samoa","SP_covid"
"Yemen, Rep.","SP_covid"
"South Africa","Cash"
"Zambia","SP_covid"
"Zimbabwe","Cash"
