"","x"
"AFG",2.68002774331936
"AGO",7.30281974067284
"ALB",19.8325998819794
"ARE",123.341026837884
"ARG",19.8325998819794
"ARM",19.8325998819794
"AUS",123.341026837884
"AUT",123.341026837884
"AZE",19.8325998819794
"BDI",2.68002774331936
"BEL",123.341026837884
"BEN",7.30281974067284
"BFA",2.68002774331936
"BGD",7.30281974067284
"BGR",19.8325998819794
"BIH",19.8325998819794
"BLR",19.8325998819794
"BLZ",19.8325998819794
"BOL",7.30281974067284
"BRA",19.8325998819794
"BTN",7.30281974067284
"BWA",19.8325998819794
"CAF",2.68002774331936
"CAN",123.341026837884
"CHE",123.341026837884
"CHL",123.341026837884
"CHN",19.8325998819794
"CIV",7.30281974067284
"CMR",7.30281974067284
"COD",2.68002774331936
"COG",7.30281974067284
"COL",19.8325998819794
"COM",7.30281974067284
"CPV",7.30281974067284
"CRI",19.8325998819794
"CYP",123.341026837884
"CZE",123.341026837884
"DEU",123.341026837884
"DJI",7.30281974067284
"DNK",123.341026837884
"DOM",19.8325998819794
"DZA",7.30281974067284
"ECU",19.8325998819794
"EGY",7.30281974067284
"ERI",2.68002774331936
"ESP",123.341026837884
"EST",123.341026837884
"ETH",2.68002774331936
"FIN",123.341026837884
"FJI",19.8325998819794
"FRA",123.341026837884
"FSM",7.30281974067284
"GAB",19.8325998819794
"GBR",123.341026837884
"GEO",19.8325998819794
"GHA",7.30281974067284
"GIN",2.68002774331936
"GMB",2.68002774331936
"GNB",2.68002774331936
"GRC",123.341026837884
"GTM",19.8325998819794
"GUY",19.8325998819794
"HND",7.30281974067284
"HRV",123.341026837884
"HTI",7.30281974067284
"HUN",123.341026837884
"IDN",7.30281974067284
"IND",7.30281974067284
"IRL",123.341026837884
"IRN",7.30281974067284
"IRQ",19.8325998819794
"ISL",123.341026837884
"ISR",123.341026837884
"ITA",123.341026837884
"JAM",19.8325998819794
"JOR",19.8325998819794
"JPN",123.341026837884
"KAZ",19.8325998819794
"KEN",7.30281974067284
"KGZ",7.30281974067284
"KHM",7.30281974067284
"KIR",7.30281974067284
"KOR",123.341026837884
"LAO",7.30281974067284
"LBN",7.30281974067284
"LBR",2.68002774331936
"LCA",19.8325998819794
"LKA",7.30281974067284
"LSO",7.30281974067284
"LTU",123.341026837884
"LUX",123.341026837884
"LVA",123.341026837884
"MAR",7.30281974067284
"MDA",19.8325998819794
"MDG",2.68002774331936
"MDV",19.8325998819794
"MEX",19.8325998819794
"MHL",19.8325998819794
"MKD",19.8325998819794
"MLI",2.68002774331936
"MLT",123.341026837884
"MMR",7.30281974067284
"MNE",19.8325998819794
"MNG",7.30281974067284
"MOZ",2.68002774331936
"MRT",7.30281974067284
"MUS",19.8325998819794
"MWI",2.68002774331936
"MYS",19.8325998819794
"NAM",19.8325998819794
"NER",2.68002774331936
"NGA",7.30281974067284
"NIC",7.30281974067284
"NLD",123.341026837884
"NOR",123.341026837884
"NPL",7.30281974067284
"NRU",123.341026837884
"PAK",7.30281974067284
"PAN",123.341026837884
"PER",19.8325998819794
"PHL",7.30281974067284
"PNG",7.30281974067284
"POL",123.341026837884
"PRT",123.341026837884
"PRY",19.8325998819794
"ROU",123.341026837884
"RUS",19.8325998819794
"RWA",2.68002774331936
"SDN",2.68002774331936
"SEN",7.30281974067284
"SLB",7.30281974067284
"SLE",2.68002774331936
"SLV",7.30281974067284
"SOM",2.68002774331936
"SRB",19.8325998819794
"SSD",2.68002774331936
"STP",7.30281974067284
"SUR",19.8325998819794
"SVK",123.341026837884
"SVN",123.341026837884
"SWE",123.341026837884
"SWZ",7.30281974067284
"SYC",123.341026837884
"SYR",2.68002774331936
"TCD",2.68002774331936
"TGO",2.68002774331936
"THA",19.8325998819794
"TJK",7.30281974067284
"TKM",19.8325998819794
"TLS",7.30281974067284
"TON",19.8325998819794
"TUN",7.30281974067284
"TUR",19.8325998819794
"TUV",19.8325998819794
"TZA",7.30281974067284
"UGA",2.68002774331936
"UKR",7.30281974067284
"URY",123.341026837884
"USA",123.341026837884
"UZB",7.30281974067284
"VEN",19.8325998819794
"VNM",7.30281974067284
"VUT",7.30281974067284
"WSM",7.30281974067284
"YEM",2.68002774331936
"ZAF",19.8325998819794
"ZMB",2.68002774331936
"ZWE",7.30281974067284
