"","Group","Reg","TaxScenario","value","Vari"
"1",1,"Southern Asia","Universal_P",0.0471659327209093,"Total_Effect"
"2",1,"Sub-Saharan Africa","Universal_P",0.0387074218945026,"Total_Effect"
"3",1,"Europe","Universal_P",0.062446621612974,"Total_Effect"
"4",1,"Middle East","Universal_P",0.126067919670941,"Total_Effect"
"5",1,"Latin America and Caribbean","Universal_P",0.0770173562755878,"Total_Effect"
"6",1,"Eurasia","Universal_P",0.133573120980402,"Total_Effect"
"7",1,"Asia-Pacific Developed","Universal_P",0.0526769176284343,"Total_Effect"
"8",1,"China","Universal_P",0.0608357372185202,"Total_Effect"
"9",1,"North Africa","Universal_P",0.0900072531387556,"Total_Effect"
"10",1,"East Asia and Developing Pacific","Universal_P",0.0627455029423535,"Total_Effect"
"11",1,"India","Universal_P",0.0895652211880698,"Total_Effect"
"12",1,"United States","Universal_P",0.0293923621244772,"Total_Effect"
"13",1,"Southern Asia","Luxury",0.0401368673060395,"Total_Effect"
"14",1,"Sub-Saharan Africa","Luxury",0.0321334234331962,"Total_Effect"
"15",1,"Europe","Luxury",0.0577192712748157,"Total_Effect"
"16",1,"Middle East","Luxury",0.103595203862189,"Total_Effect"
"17",1,"Latin America and Caribbean","Luxury",0.0393084749916814,"Total_Effect"
"18",1,"Eurasia","Luxury",0.124492466325031,"Total_Effect"
"19",1,"Asia-Pacific Developed","Luxury",0.0524164283156367,"Total_Effect"
"20",1,"China","Luxury",0.0575995709230161,"Total_Effect"
"21",1,"North Africa","Luxury",0.0845605328123498,"Total_Effect"
"22",1,"East Asia and Developing Pacific","Luxury",0.0460494265664025,"Total_Effect"
"23",1,"India","Luxury",0.0545428488684629,"Total_Effect"
"24",1,"United States","Luxury",0.026684865571466,"Total_Effect"
"25",1,"Southern Asia","CBDR_P",0.0118577850123989,"Total_Effect"
"26",1,"Sub-Saharan Africa","CBDR_P",0.0185114695660991,"Total_Effect"
"27",1,"Europe","CBDR_P",0.0609044575133605,"Total_Effect"
"28",1,"Middle East","CBDR_P",0.0338662372515942,"Total_Effect"
"29",1,"Latin America and Caribbean","CBDR_P",0.056633546942865,"Total_Effect"
"30",1,"Eurasia","CBDR_P",0.0447964795233604,"Total_Effect"
"31",1,"Asia-Pacific Developed","CBDR_P",0.0914992669307811,"Total_Effect"
"32",1,"China","CBDR_P",0.0307335709731918,"Total_Effect"
"33",1,"North Africa","CBDR_P",0.0331078634485635,"Total_Effect"
"34",1,"East Asia and Developing Pacific","CBDR_P",0.0223416981816579,"Total_Effect"
"35",1,"India","CBDR_P",0.016876855254824,"Total_Effect"
"36",1,"United States","CBDR_P",0.0587683713033703,"Total_Effect"
"37",1,"Southern Asia","CBDR_C",0.00768578347690613,"Total_Effect"
"38",1,"Sub-Saharan Africa","CBDR_C",0.0077895729855165,"Total_Effect"
"39",1,"Europe","CBDR_C",0.0552429929134439,"Total_Effect"
"40",1,"Middle East","CBDR_C",0.0236414567389767,"Total_Effect"
"41",1,"Latin America and Caribbean","CBDR_C",0.0368549843700611,"Total_Effect"
"42",1,"Eurasia","CBDR_C",0.0343608504556806,"Total_Effect"
"43",1,"Asia-Pacific Developed","CBDR_C",0.0931437509475756,"Total_Effect"
"44",1,"China","CBDR_C",0.0227627229034235,"Total_Effect"
"45",1,"North Africa","CBDR_C",0.0200566991042015,"Total_Effect"
"46",1,"East Asia and Developing Pacific","CBDR_C",0.0106788898546232,"Total_Effect"
"47",1,"India","CBDR_C",0.0124939126023678,"Total_Effect"
"48",1,"United States","CBDR_C",0.0588484447519696,"Total_Effect"
"49",1,"Southern Asia","Luxury&CBDR_C",0.00693645780780236,"Total_Effect"
"50",1,"Sub-Saharan Africa","Luxury&CBDR_C",0.00723579953991749,"Total_Effect"
"51",1,"Europe","Luxury&CBDR_C",0.0505547951290235,"Total_Effect"
"52",1,"Middle East","Luxury&CBDR_C",0.020698253429775,"Total_Effect"
"53",1,"Latin America and Caribbean","Luxury&CBDR_C",0.0187670314287505,"Total_Effect"
"54",1,"Eurasia","Luxury&CBDR_C",0.0327153427143434,"Total_Effect"
"55",1,"Asia-Pacific Developed","Luxury&CBDR_C",0.0914426303132685,"Total_Effect"
"56",1,"China","Luxury&CBDR_C",0.0218341548344277,"Total_Effect"
"57",1,"North Africa","Luxury&CBDR_C",0.0190582011468719,"Total_Effect"
"58",1,"East Asia and Developing Pacific","Luxury&CBDR_C",0.008716744726119,"Total_Effect"
"59",1,"India","Luxury&CBDR_C",0.0082818116279862,"Total_Effect"
"60",1,"United States","Luxury&CBDR_C",0.0532950927792481,"Total_Effect"
"61",2,"Southern Asia","Universal_P",0.0482773816307804,"Total_Effect"
"62",2,"Sub-Saharan Africa","Universal_P",0.0362611801439761,"Total_Effect"
"63",2,"Europe","Universal_P",0.0556227198047534,"Total_Effect"
"64",2,"Middle East","Universal_P",0.127454816208796,"Total_Effect"
"65",2,"Latin America and Caribbean","Universal_P",0.0641934008738888,"Total_Effect"
"66",2,"Eurasia","Universal_P",0.136588787237379,"Total_Effect"
"67",2,"Asia-Pacific Developed","Universal_P",0.0468167713197044,"Total_Effect"
"68",2,"China","Universal_P",0.0677359450148778,"Total_Effect"
"69",2,"North Africa","Universal_P",0.0932410043179519,"Total_Effect"
"70",2,"East Asia and Developing Pacific","Universal_P",0.0628843756896778,"Total_Effect"
"71",2,"India","Universal_P",0.0907316621897407,"Total_Effect"
"72",2,"United States","Universal_P",0.0278427540931699,"Total_Effect"
"73",2,"Southern Asia","Luxury",0.0421798160674141,"Total_Effect"
"74",2,"Sub-Saharan Africa","Luxury",0.0310077223083241,"Total_Effect"
"75",2,"Europe","Luxury",0.0522877338864393,"Total_Effect"
"76",2,"Middle East","Luxury",0.10940945849427,"Total_Effect"
"77",2,"Latin America and Caribbean","Luxury",0.0419583516894667,"Total_Effect"
"78",2,"Eurasia","Luxury",0.132650931294782,"Total_Effect"
"79",2,"Asia-Pacific Developed","Luxury",0.0463426978690802,"Total_Effect"
"80",2,"China","Luxury",0.0645161111881275,"Total_Effect"
"81",2,"North Africa","Luxury",0.0888101116701325,"Total_Effect"
"82",2,"East Asia and Developing Pacific","Luxury",0.0506186515505581,"Total_Effect"
"83",2,"India","Luxury",0.062046249470782,"Total_Effect"
"84",2,"United States","Luxury",0.025465186598777,"Total_Effect"
"85",2,"Southern Asia","CBDR_P",0.012193218127312,"Total_Effect"
"86",2,"Sub-Saharan Africa","CBDR_P",0.0165211743267625,"Total_Effect"
"87",2,"Europe","CBDR_P",0.0667811683990044,"Total_Effect"
"88",2,"Middle East","CBDR_P",0.0331152059400571,"Total_Effect"
"89",2,"Latin America and Caribbean","CBDR_P",0.0454480994726718,"Total_Effect"
"90",2,"Eurasia","CBDR_P",0.0561195394353225,"Total_Effect"
"91",2,"Asia-Pacific Developed","CBDR_P",0.084351532030682,"Total_Effect"
"92",2,"China","CBDR_P",0.0343509856029155,"Total_Effect"
"93",2,"North Africa","CBDR_P",0.0301242500941761,"Total_Effect"
"94",2,"East Asia and Developing Pacific","CBDR_P",0.0210675613017964,"Total_Effect"
"95",2,"India","CBDR_P",0.0172239313756395,"Total_Effect"
"96",2,"United States","CBDR_P",0.0555873938752649,"Total_Effect"
"97",2,"Southern Asia","CBDR_C",0.00770326253580932,"Total_Effect"
"98",2,"Sub-Saharan Africa","CBDR_C",0.0065879444899156,"Total_Effect"
"99",2,"Europe","CBDR_C",0.0639816016790426,"Total_Effect"
"100",2,"Middle East","CBDR_C",0.0234566243546996,"Total_Effect"
"101",2,"Latin America and Caribbean","CBDR_C",0.0303856175047104,"Total_Effect"
"102",2,"Eurasia","CBDR_C",0.0436808277056187,"Total_Effect"
"103",2,"Asia-Pacific Developed","CBDR_C",0.0865836402495812,"Total_Effect"
"104",2,"China","CBDR_C",0.0255961611348341,"Total_Effect"
"105",2,"North Africa","CBDR_C",0.0215802325557143,"Total_Effect"
"106",2,"East Asia and Developing Pacific","CBDR_C",0.0113494345321316,"Total_Effect"
"107",2,"India","CBDR_C",0.013241537062586,"Total_Effect"
"108",2,"United States","CBDR_C",0.0555080928294602,"Total_Effect"
"109",2,"Southern Asia","Luxury&CBDR_C",0.00705836635629604,"Total_Effect"
"110",2,"Sub-Saharan Africa","Luxury&CBDR_C",0.0060807279280657,"Total_Effect"
"111",2,"Europe","Luxury&CBDR_C",0.0588490171360522,"Total_Effect"
"112",2,"Middle East","Luxury&CBDR_C",0.0211356334153475,"Total_Effect"
"113",2,"Latin America and Caribbean","Luxury&CBDR_C",0.0201026396285715,"Total_Effect"
