"","x"
"AFG",2.23335645276613
"AGO",6.08568311722737
"ALB",16.5271665683162
"ARE",102.78418903157
"ARG",16.5271665683162
"ARM",16.5271665683162
"AUS",102.78418903157
"AUT",102.78418903157
"AZE",16.5271665683162
"BDI",2.23335645276613
"BEL",102.78418903157
"BEN",6.08568311722737
"BFA",2.23335645276613
"BGD",6.08568311722737
"BGR",16.5271665683162
"BIH",16.5271665683162
"BLR",16.5271665683162
"BLZ",16.5271665683162
"BOL",6.08568311722737
"BRA",16.5271665683162
"BTN",6.08568311722737
"BWA",16.5271665683162
"CAF",2.23335645276613
"CAN",102.78418903157
"CHE",102.78418903157
"CHL",102.78418903157
"CHN",16.5271665683162
"CIV",6.08568311722737
"CMR",6.08568311722737
"COD",2.23335645276613
"COG",6.08568311722737
"COL",16.5271665683162
"COM",6.08568311722737
"CPV",6.08568311722737
"CRI",16.5271665683162
"CYP",102.78418903157
"CZE",102.78418903157
"DEU",102.78418903157
"DJI",6.08568311722737
"DNK",102.78418903157
"DOM",16.5271665683162
"DZA",6.08568311722737
"ECU",16.5271665683162
"EGY",6.08568311722737
"ERI",2.23335645276613
"ESP",102.78418903157
"EST",102.78418903157
"ETH",2.23335645276613
"FIN",102.78418903157
"FJI",16.5271665683162
"FRA",102.78418903157
"FSM",6.08568311722737
"GAB",16.5271665683162
"GBR",102.78418903157
"GEO",16.5271665683162
"GHA",6.08568311722737
"GIN",2.23335645276613
"GMB",2.23335645276613
"GNB",2.23335645276613
"GRC",102.78418903157
"GTM",16.5271665683162
"GUY",16.5271665683162
"HND",6.08568311722737
"HRV",102.78418903157
"HTI",6.08568311722737
"HUN",102.78418903157
"IDN",6.08568311722737
"IND",6.08568311722737
"IRL",102.78418903157
"IRN",6.08568311722737
"IRQ",16.5271665683162
"ISL",102.78418903157
"ISR",102.78418903157
"ITA",102.78418903157
"JAM",16.5271665683162
"JOR",16.5271665683162
"JPN",102.78418903157
"KAZ",16.5271665683162
"KEN",6.08568311722737
"KGZ",6.08568311722737
"KHM",6.08568311722737
"KIR",6.08568311722737
"KOR",102.78418903157
"LAO",6.08568311722737
"LBN",6.08568311722737
"LBR",2.23335645276613
"LCA",16.5271665683162
"LKA",6.08568311722737
"LSO",6.08568311722737
"LTU",102.78418903157
"LUX",102.78418903157
"LVA",102.78418903157
"MAR",6.08568311722737
"MDA",16.5271665683162
"MDG",2.23335645276613
"MDV",16.5271665683162
"MEX",16.5271665683162
"MHL",16.5271665683162
"MKD",16.5271665683162
"MLI",2.23335645276613
"MLT",102.78418903157
"MMR",6.08568311722737
"MNE",16.5271665683162
"MNG",6.08568311722737
"MOZ",2.23335645276613
"MRT",6.08568311722737
"MUS",16.5271665683162
"MWI",2.23335645276613
"MYS",16.5271665683162
"NAM",16.5271665683162
"NER",2.23335645276613
"NGA",6.08568311722737
"NIC",6.08568311722737
"NLD",102.78418903157
"NOR",102.78418903157
"NPL",6.08568311722737
"NRU",102.78418903157
"PAK",6.08568311722737
"PAN",102.78418903157
"PER",16.5271665683162
"PHL",6.08568311722737
"PNG",6.08568311722737
"POL",102.78418903157
"PRT",102.78418903157
"PRY",16.5271665683162
"ROU",102.78418903157
"RUS",16.5271665683162
"RWA",2.23335645276613
"SDN",2.23335645276613
"SEN",6.08568311722737
"SLB",6.08568311722737
"SLE",2.23335645276613
"SLV",6.08568311722737
"SOM",2.23335645276613
"SRB",16.5271665683162
"SSD",2.23335645276613
"STP",6.08568311722737
"SUR",16.5271665683162
"SVK",102.78418903157
"SVN",102.78418903157
"SWE",102.78418903157
"SWZ",6.08568311722737
"SYC",102.78418903157
"SYR",2.23335645276613
"TCD",2.23335645276613
"TGO",2.23335645276613
"THA",16.5271665683162
"TJK",6.08568311722737
"TKM",16.5271665683162
"TLS",6.08568311722737
"TON",16.5271665683162
"TUN",6.08568311722737
"TUR",16.5271665683162
"TUV",16.5271665683162
"TZA",6.08568311722737
"UGA",2.23335645276613
"UKR",6.08568311722737
"URY",102.78418903157
"USA",102.78418903157
"UZB",6.08568311722737
"VEN",16.5271665683162
"VNM",6.08568311722737
"VUT",6.08568311722737
"WSM",6.08568311722737
"YEM",2.23335645276613
"ZAF",16.5271665683162
"ZMB",2.23335645276613
"ZWE",6.08568311722737
